url,title,price
http://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,A Light in the Attic,£51.77
http://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99
http://books.toscrape.com/catalogue/olio_984/index.html,Olio,£23.88
http://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,Shakespeare's Sonnets,£20.66
http://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,Rip it Up and Start Again,£35.02
http://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25
http://books.toscrape.com/catalogue/set-me-free_988/index.html,Set Me Free,£17.46
http://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59
http://books.toscrape.com/catalogue/the-black-maria_991/index.html,The Black Maria,£52.15
http://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93
http://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,The Dirty Little Secrets of Getting Your Dream Job,£33.34
http://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60
http://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,Sapiens: A Brief History of Humankind,£54.23
http://books.toscrape.com/catalogue/the-requiem-red_995/index.html,The Requiem Red,£22.65
http://books.toscrape.com/catalogue/sharp-objects_997/index.html,Sharp Objects,£47.82
http://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,Libertarianism for Beginners,£51.33
http://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,It's Only the Himalayas,£45.17
http://books.toscrape.com/catalogue/soumission_998/index.html,Soumission,£50.10
http://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,Tipping the Velvet,£53.74
http://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29
http://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html,Maude (1883-1993):She Grew Up with the country,£18.02
http://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,"In a Dark, Dark Wood",£19.63
http://books.toscrape.com/catalogue/penny-maybe_965/index.html,Penny Maybe,£33.29
http://books.toscrape.com/catalogue/sophies-world_966/index.html,Sophie's World,£15.94
http://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html,The Bear and the Piano,£36.89
http://books.toscrape.com/catalogue/the-elephant-tree_968/index.html,The Elephant Tree,£23.82
http://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,£31.05
http://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,The Four Agreements: A Practical Guide to Personal Freedom,£17.66
http://books.toscrape.com/catalogue/wall-and-piece_971/index.html,Wall and Piece,£44.18
http://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,Worlds Elsewhere: Journeys Around Shakespeare’s Globe,£40.30
http://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html,Aladdin and His Wonderful Lamp,£53.13
http://books.toscrape.com/catalogue/behind-closed-doors_962/index.html,Behind Closed Doors,£52.22
http://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50
http://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html,Birdsong: A Story in Pictures,£54.64
http://books.toscrape.com/catalogue/black-dust_976/index.html,Black Dust,£34.53
http://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html,Chase Me (Paris Nights #2),£25.27
http://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52
http://books.toscrape.com/catalogue/how-music-works_979/index.html,How Music Works,£37.32
http://books.toscrape.com/catalogue/alice-in-wonderland-alices-adventures-in-wonderland-1_5/index.html,Alice in Wonderland (Alice's Adventures in Wonderland #1),£55.53
http://books.toscrape.com/catalogue/the-story-of-hong-gildong_84/index.html,The Story of Hong Gildong,£43.19
http://books.toscrape.com/catalogue/the-little-prince_72/index.html,The Little Prince,£45.42
http://books.toscrape.com/catalogue/my-name-is-lucy-barton_720/index.html,My Name Is Lucy Barton,£41.56
http://books.toscrape.com/catalogue/the-bone-hunters-lexy-vaughan-steven-macaulay-2_343/index.html,The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),£59.71
http://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html,You can't bury them all: Poems,£33.63
http://books.toscrape.com/catalogue/far-from-true-promise-falls-trilogy-2_320/index.html,Far From True (Promise Falls Trilogy #2),£34.93
http://books.toscrape.com/catalogue/leave-this-song-behind-teen-poetry-at-its-best_474/index.html,Leave This Song Behind: Teen Poetry at Its Best,£51.17
http://books.toscrape.com/catalogue/the-collected-poems-of-wb-yeats-the-collected-works-of-wb-yeats-1_441/index.html,The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),£15.42
